Year,Month,Day,Site,Level,Observer,Transect_type,Transect_number,Depth_m,Lat,Long,Genusspecies,Frequency,Abund
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,11,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,7,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,12,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,19,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,14,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,14,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,18,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,20,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,4,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,4,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,6,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,7,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,5,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,6,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,15,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,4,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,5,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,12,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,11,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,19,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,6,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,10,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,22,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,29,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,17,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,18,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,19,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,2,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,13,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,9,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,7,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,6,1
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Sargassum_spp,9,9
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Sargassum_spp,5,5
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Sargassum_spp,4,4
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Sargassum_spp,4,4
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Sargassum_spp,6,6
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Sargassum_spp,12,12
2018,5,30,Isla_Todos_Santos,Shallow,Pike,algae,1,7,31.80889,-116.79807,Sargassum_spp,9,9
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,5,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,15,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,20,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,10,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,15,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,9,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,4,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,46,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,3,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,9,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,20,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,25,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,7,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,8,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,22,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,5,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,15,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,7,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,22,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,14,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,12,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,7,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,10,1
2018,5,30,Isla_Todos_Santos,Shallow,Rodrigo,algae,2,7,31.80889,-116.79807,Macrocystis_pyrifera_stipes,3,1
